Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"smallestValue = getText(findTestObject(""MvcApp/td_3""))",Firefox 66.0,,,2019-04-29 14:16:38,2019-04-29 14:16:38,0.027s,PASSED
"click(findTestObject(""MvcApp/a_Column Settings for Order Date""))",Firefox 66.0,,,2019-04-29 14:16:38,2019-04-29 14:16:39,0.247s,PASSED
"click(findTestObject(""MvcApp/span_Sort Descending""))",Firefox 66.0,,,2019-04-29 14:16:39,2019-04-29 14:16:39,0.253s,PASSED
"biggestValue = getText(findTestObject(""MvcApp/td_3""))",Firefox 66.0,,,2019-04-29 14:16:39,2019-04-29 14:16:39,0.019s,PASSED
"verifyGreaterThanOrEqual(biggestValue.compareTo(smallestValue), 0)",Firefox 66.0,,,2019-04-29 14:16:39,2019-04-29 14:16:39,0.002s,PASSED
,,,,,,,
Test Cases/FilterNumbers,Firefox 66.0,,,2019-04-29 14:16:39,2019-04-29 14:17:06,26.711s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-04-29 14:16:39,2019-04-29 14:16:44,4.651s,PASSED
navigateToUrl(baseURL),Firefox 66.0,,,2019-04-29 14:16:44,2019-04-29 14:16:46,2.628s,PASSED
"click(findTestObject(""MvcApp/a_Column Settings for Freight""))",Firefox 66.0,,,2019-04-29 14:16:46,2019-04-29 14:16:47,0.325s,PASSED
"mouseOver(findTestObject(""MvcApp/span_Filter""))",Firefox 66.0,,,2019-04-29 14:16:47,2019-04-29 14:16:47,0.149s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/span_Is equal to""), 5)",Firefox 66.0,,,2019-04-29 14:16:47,2019-04-29 14:16:47,0.551s,PASSED
"waitForElementClickable(findTestObject(""MvcApp/span_Is equal to""), 5)",Firefox 66.0,,,2019-04-29 14:16:47,2019-04-29 14:16:47,0.024s,PASSED
"click(findTestObject(""MvcApp/span_Is equal to""))",Firefox 66.0,,,2019-04-29 14:16:47,2019-04-29 14:16:48,0.268s,PASSED
"click(findTestObject(""MvcApp/li_Is greater than""))",Firefox 66.0,,,2019-04-29 14:16:48,2019-04-29 14:16:48,0.238s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/span_Filter up arrow""), 5)",Firefox 66.0,,,2019-04-29 14:16:48,2019-04-29 14:16:48,0.033s,PASSED
filterValues = 20,Firefox 66.0,,,2019-04-29 14:16:48,2019-04-29 14:16:48,0.000s,PASSED
"for ([i = 0, i < filterValues, (i++)])",Firefox 66.0,,,2019-04-29 14:16:48,2019-04-29 14:16:53,4.626s,PASSED
"click(findTestObject(""MvcApp/button_Filter""))",Firefox 66.0,,,2019-04-29 14:16:53,2019-04-29 14:16:53,0.257s,PASSED
filterRow = 1,Firefox 66.0,,,2019-04-29 14:16:53,2019-04-29 14:16:53,0.000s,PASSED
filterCol = 2,Firefox 66.0,,,2019-04-29 14:16:53,2019-04-29 14:16:53,0.000s,PASSED
"while (waitForElementPresent(findTestObject(""MvcApp/td_Dynamic"", [""testRow"":filterRow, ""testCol"":filterCol]), 5, CONTINUE_ON_FAILURE))",Firefox 66.0,,,2019-04-29 14:16:53,2019-04-29 14:16:59,5.733s,PASSED
"click(findTestObject(""MvcApp/a_Column Settings for Freight""))",Firefox 66.0,,,2019-04-29 14:16:59,2019-04-29 14:16:59,0.254s,PASSED
"mouseOverOffset(findTestObject(""MvcApp/span_Filter""), 15, 15)",Firefox 66.0,,,2019-04-29 14:16:59,2019-04-29 14:16:59,0.143s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/span_Is greater than""), 5)",Firefox 66.0,,,2019-04-29 14:16:59,2019-04-29 14:16:59,0.565s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/span_Is equal to""), 5)",Firefox 66.0,,,2019-04-29 14:16:59,2019-04-29 14:17:00,0.031s,PASSED
"waitForElementClickable(findTestObject(""MvcApp/span_Is greater than""), 5)",Firefox 66.0,,,2019-04-29 14:17:00,2019-04-29 14:17:00,0.018s,PASSED
"click(findTestObject(""MvcApp/span_Is greater than""))",Firefox 66.0,,,2019-04-29 14:17:00,2019-04-29 14:17:00,0.252s,PASSED
"click(findTestObject(""MvcApp/li_Is less than""))",Firefox 66.0,,,2019-04-29 14:17:00,2019-04-29 14:17:00,0.249s,PASSED
"click(findTestObject(""MvcApp/button_Filter""))",Firefox 66.0,,,2019-04-29 14:17:00,2019-04-29 14:17:00,0.242s,PASSED
filterRow = 1,Firefox 66.0,,,2019-04-29 14:17:00,2019-04-29 14:17:00,0.000s,PASSED
filterCol = 2,Firefox 66.0,,,2019-04-29 14:17:00,2019-04-29 14:17:00,0.000s,PASSED
"while (waitForElementPresent(findTestObject(""MvcApp/td_Dynamic"", [""testRow"":filterRow, ""testCol"":filterCol]), 5, CONTINUE_ON_FAILURE))",Firefox 66.0,,,2019-04-29 14:17:00,2019-04-29 14:17:06,5.216s,PASSED
,,,,,,,
Test Cases/FilterText,Firefox 66.0,,,2019-04-29 14:17:06,2019-04-29 14:17:18,12.115s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-04-29 14:17:06,2019-04-29 14:17:10,4.442s,PASSED
navigateToUrl(baseURL),Firefox 66.0,,,2019-04-29 14:17:10,2019-04-29 14:17:13,2.926s,PASSED
"click(findTestObject(""MvcApp/a_Column Settings for Ship Name""))",Firefox 66.0,,,2019-04-29 14:17:13,2019-04-29 14:17:13,0.332s,PASSED
"mouseOver(findTestObject(""MvcApp/span_Filter""))",Firefox 66.0,,,2019-04-29 14:17:13,2019-04-29 14:17:14,0.146s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/span_Is equal to""), 5)",Firefox 66.0,,,2019-04-29 14:17:14,2019-04-29 14:17:14,0.559s,PASSED
"waitForElementClickable(findTestObject(""MvcApp/span_Is equal to""), 5)",Firefox 66.0,,,2019-04-29 14:17:14,2019-04-29 14:17:14,0.020s,PASSED
"click(findTestObject(""MvcApp/span_Is equal to""))",Firefox 66.0,,,2019-04-29 14:17:14,2019-04-29 14:17:14,0.261s,PASSED
"click(findTestObject(""MvcApp/li_Contains""))",Firefox 66.0,,,2019-04-29 14:17:14,2019-04-29 14:17:15,0.239s,PASSED
"setText(findTestObject(""MvcApp/input_Filter textbox""), ""Ship"")",Firefox 66.0,,,2019-04-29 14:17:15,2019-04-29 14:17:15,0.049s,PASSED
"click(findTestObject(""MvcApp/button_Filter""))",Firefox 66.0,,,2019-04-29 14:17:15,2019-04-29 14:17:15,0.252s,PASSED
filterRow = 1,Firefox 66.0,,,2019-04-29 14:17:15,2019-04-29 14:17:15,0.000s,PASSED
filterCol = 4,Firefox 66.0,,,2019-04-29 14:17:15,2019-04-29 14:17:15,0.000s,PASSED
"while (waitForElementPresent(findTestObject(""MvcApp/td_Dynamic"", [""testRow"":filterRow, ""testCol"":filterCol]), 2, CONTINUE_ON_FAILURE))",Firefox 66.0,,,2019-04-29 14:17:15,2019-04-29 14:17:18,2.621s,PASSED
,,,,,,,
Test Cases/MultiFilters,Firefox 66.0,,,2019-04-29 14:17:18,2019-04-29 14:17:18,0.258s,PASSED
return null,Firefox 66.0,,,2019-04-29 14:17:18,2019-04-29 14:17:18,0.000s,PASSED
,,,,,,,
Test Cases/GroupData,Firefox 66.0,,,2019-04-29 14:17:18,2019-04-29 14:18:20,1m - 2.429s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-04-29 14:17:18,2019-04-29 14:17:23,4.741s,PASSED
navigateToUrl(baseURL),Firefox 66.0,,,2019-04-29 14:17:23,2019-04-29 14:18:18,54.654s,PASSED
"click(findTestObject(""MvcApp/a_Column Settings for Ship Name""))",Firefox 66.0,,,2019-04-29 14:18:18,2019-04-29 14:18:18,0.335s,PASSED
"mouseOver(findTestObject(""MvcApp/span_Filter""))",Firefox 66.0,,,2019-04-29 14:18:18,2019-04-29 14:18:18,0.146s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/span_Is equal to""), 5)",Firefox 66.0,,,2019-04-29 14:18:18,2019-04-29 14:18:19,0.550s,PASSED
"waitForElementClickable(findTestObject(""MvcApp/span_Is equal to""), 5)",Firefox 66.0,,,2019-04-29 14:18:19,2019-04-29 14:18:19,0.022s,PASSED
"click(findTestObject(""MvcApp/span_Is equal to""))",Firefox 66.0,,,2019-04-29 14:18:19,2019-04-29 14:18:19,0.266s,PASSED
"click(findTestObject(""MvcApp/li_Contains""))",Firefox 66.0,,,2019-04-29 14:18:19,2019-04-29 14:18:19,0.236s,PASSED
"setText(findTestObject(""MvcApp/input_Filter textbox""), ""5"")",Firefox 66.0,,,2019-04-29 14:18:19,2019-04-29 14:18:19,0.032s,PASSED
"click(findTestObject(""MvcApp/button_Filter""))",Firefox 66.0,,,2019-04-29 14:18:19,2019-04-29 14:18:19,0.248s,PASSED
"dragAndDropToObject(findTestObject(""Object Repository/MvcApp/a_Ship Name""), findTestObject(""Object Repository/MvcApp/div_Area to Group By""))",Firefox 66.0,,,2019-04-29 14:18:19,2019-04-29 14:18:20,0.888s,PASSED
"verifyElementVisible(findTestObject(""MvcApp/p_Grouped Items Header""))",Firefox 66.0,,,2019-04-29 14:18:20,2019-04-29 14:18:20,0.060s,PASSED
,,,,,,,
Test Cases/MenuItems,Firefox 66.0,,,2019-04-29 14:18:20,2019-04-29 14:18:21,0.232s,PASSED
return null,Firefox 66.0,,,2019-04-29 14:18:21,2019-04-29 14:18:21,0.000s,PASSED
