Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestKendoWidgets,Firefox 66.0,"Test Grid (filters, sorts, groups, pagination) and Menu (with items, links, disabled) widgets",,2019-04-29 14:12:05,2019-04-29 14:13:33,1m - 28.215s,FAILED
,,,,,,,
Test Cases/ShowHideColumns,Firefox 66.0,,,2019-04-29 14:12:05,2019-04-29 14:12:17,11.638s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-04-29 14:12:05,2019-04-29 14:12:10,4.625s,PASSED
navigateToUrl(baseURL),Firefox 66.0,,,2019-04-29 14:12:10,2019-04-29 14:12:13,3.001s,PASSED
"click(findTestObject(""Object Repository/MvcApp/a_Column Settings for OrderID""))",Firefox 66.0,,,2019-04-29 14:12:13,2019-04-29 14:12:13,0.324s,PASSED
"click(findTestObject(""Object Repository/MvcApp/span_Columns""))",Firefox 66.0,,,2019-04-29 14:12:13,2019-04-29 14:12:14,0.235s,PASSED
"mouseOverOffset(findTestObject(""Object Repository/MvcApp/span_Columns""), 20, 20)",Firefox 66.0,,,2019-04-29 14:12:14,2019-04-29 14:12:14,0.161s,PASSED
"waitForElementVisible(findTestObject(""MvcApp/input_OrderID Hide Show""), 5)",Firefox 66.0,,,2019-04-29 14:12:14,2019-04-29 14:12:14,0.571s,PASSED
"waitForElementClickable(findTestObject(""MvcApp/input_OrderID Hide Show""), 5)",Firefox 66.0,,,2019-04-29 14:12:14,2019-04-29 14:12:14,0.044s,PASSED
"click(findTestObject(""MvcApp/input_OrderID Hide Show""))",Firefox 66.0,,,2019-04-29 14:12:14,2019-04-29 14:12:15,0.240s,PASSED
"verifyElementNotVisible(findTestObject(""Object Repository/MvcApp/a_Order ID""))",Firefox 66.0,,,2019-04-29 14:12:15,2019-04-29 14:12:15,0.055s,PASSED
"click(findTestObject(""MvcApp/input_Freight Hide Show""))",Firefox 66.0,,,2019-04-29 14:12:15,2019-04-29 14:12:15,0.244s,PASSED
"verifyElementNotVisible(findTestObject(""Object Repository/MvcApp/a_Freight""))",Firefox 66.0,,,2019-04-29 14:12:15,2019-04-29 14:12:15,0.032s,PASSED
"click(findTestObject(""MvcApp/input_OrderID Hide Show""))",Firefox 66.0,,,2019-04-29 14:12:15,2019-04-29 14:12:15,0.244s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/MvcApp/a_Order ID""))",Firefox 66.0,,,2019-04-29 14:12:15,2019-04-29 14:12:15,0.038s,PASSED
"click(findTestObject(""Object Repository/MvcApp/a_Order ID""))",Firefox 66.0,,,2019-04-29 14:12:15,2019-04-29 14:12:15,0.246s,PASSED
closeBrowser(),Firefox 66.0,,,2019-04-29 14:12:15,2019-04-29 14:12:17,1.206s,PASSED
,,,,,,,
Test Cases/SortNumbers,Firefox 66.0,,,2019-04-29 14:12:17,2019-04-29 14:12:24,7.069s,PASSED
"openBrowser("""")",Firefox 66.0,,,2019-04-29 14:12:17,2019-04-29 14:12:20,3.223s,PASSED
navigateToUrl(baseURL),Firefox 66.0,,,2019-04-29 14:12:20,2019-04-29 14:12:23,2.594s,PASSED
"click(findTestObject(""MvcApp/a_Column Settings""))",Firefox 66.0,,,2019-04-29 14:12:23,2019-04-29 14:12:23,0.287s,PASSED
"click(findTestObject(""MvcApp/span_Sort Ascending""))",Firefox 66.0,,,2019-04-29 14:12:23,2019-04-29 14:12:23,0.245s,PASSED
"smallestValue = getText(findTestObject(""MvcApp/td_0""))",Firefox 66.0,,,2019-04-29 14:12:23,2019-04-29 14:12:23,0.030s,PASSED
"click(findTestObject(""MvcApp/a_Column Settings""))",Firefox 66.0,,,2019-04-29 14:12:23,2019-04-29 14:12:23,0.239s,PASSED
"click(findTestObject(""MvcApp/span_Sort Descending""))",Firefox 66.0,,,2019-04-29 14:12:23,2019-04-29 14:12:24,0.245s,PASSED
"biggestValue = getText(findTestObject(""MvcApp/td_0""))",Firefox 66.0,,,2019-04-29 14:12:24,2019-04-29 14:12:24,0.021s,PASSED
